context_id	rank	captured_at	environment	private_evidence_pointer	evidence_sha256	japanese	english	japanese_id	english_id	zenbu_present_pre	zenbu_rank_pre	lexical_relation	general_japanese	general_english	direct_link	japanese_indices	duplicate_group	duplicate_group_size	observation_source
D01	1	2026-08-15T01:14:58+09:00	Nihongo-1.34.3-9792-iPhone17ProMax-iOS26.6	private://issue-147/D01-cave-top20-01.png	f11342a73ea8cf8c01cdd3d093ecb5d30a7067a07580718ba16bf6d6035e6a23	洞窟を脱出！	Cave escape!	484243	483985	true	2	normalized-literal-surface	true	true	true	false	english:483985	1	issue-147-direct-transcription
D01	2	2026-08-15T01:14:58+09:00	Nihongo-1.34.3-9792-iPhone17ProMax-iOS26.6	private://issue-147/D01-cave-top20-01.png	f11342a73ea8cf8c01cdd3d093ecb5d30a7067a07580718ba16bf6d6035e6a23	洞窟は暗い。	Caves are dark.	11491039	3008736	true	1	normalized-literal-surface	true	true	true	false	english:3008736	1	issue-147-direct-transcription
D01	3	2026-08-15T01:14:58+09:00	Nihongo-1.34.3-9792-iPhone17ProMax-iOS26.6	private://issue-147/D01-cave-top20-01.png	f11342a73ea8cf8c01cdd3d093ecb5d30a7067a07580718ba16bf6d6035e6a23	これは洞窟です。	This is a cave.	2804141	2804142	true	3	normalized-literal-surface	true	true	true	false	english:2804142	1	issue-147-direct-transcription
D01	4	2026-08-15T01:14:58+09:00	Nihongo-1.34.3-9792-iPhone17ProMax-iOS26.6	private://issue-147/D01-cave-top20-01.png	f11342a73ea8cf8c01cdd3d093ecb5d30a7067a07580718ba16bf6d6035e6a23	洞窟は真っ暗だった。	It was pitch-dark in the cave.	11195158	11085878	true	4	normalized-literal-surface	true	true	true	false	english:11085878	2	issue-147-direct-transcription
D01	5	2026-08-15T01:14:58+09:00	Nihongo-1.34.3-9792-iPhone17ProMax-iOS26.6	private://issue-147/D01-cave-top20-01.png	f11342a73ea8cf8c01cdd3d093ecb5d30a7067a07580718ba16bf6d6035e6a23	洞窟は蛍でいっぱいだ。	The cave is full of fireflies.	8823605	1294352	true	5	normalized-literal-surface	true	true	true	false	english:1294352	1	issue-147-direct-transcription
D01	6	2026-08-15T01:14:58+09:00	Nihongo-1.34.3-9792-iPhone17ProMax-iOS26.6	private://issue-147/D01-cave-top20-01.png	f11342a73ea8cf8c01cdd3d093ecb5d30a7067a07580718ba16bf6d6035e6a23	トムは洞窟に入ったよ。	Tom entered the cave.	9106984	9106983	true	6	normalized-literal-surface	true	true	true	false	english:9106983	1	issue-147-direct-transcription
D01	7	2026-08-15T01:14:58+09:00	Nihongo-1.34.3-9792-iPhone17ProMax-iOS26.6	private://issue-147/D01-cave-top20-01.png	f11342a73ea8cf8c01cdd3d093ecb5d30a7067a07580718ba16bf6d6035e6a23	その洞穴は近づきやすい。	The cave is easy to access.	207433	44686	true	8	normalized-literal-surface	true	true	true	true	english:44686	1	issue-147-direct-transcription
D01	8	2026-08-15T01:16:17+09:00	Nihongo-1.34.3-9792-iPhone17ProMax-iOS26.6	private://issue-147/D01-cave-top20-02.png	08498a54a9822d34a5fec506bfb913d209f793e97020de68cbb2568d503e710b	私たちは洞窟の中に入った。	We went into the cave.	12068436	9015131	true	10	normalized-literal-surface	true	true	true	false	english:9015131	1	issue-147-direct-transcription
D01	9	2026-08-15T01:16:17+09:00	Nihongo-1.34.3-9792-iPhone17ProMax-iOS26.6	private://issue-147/D01-cave-top20-02.png	08498a54a9822d34a5fec506bfb913d209f793e97020de68cbb2568d503e710b	トムは洞窟に閉じ込められた。	Tom is trapped in the cave.	8621723	7732995	true	11	normalized-literal-surface	true	true	true	false	english:7732995	1	issue-147-direct-transcription
D01	10	2026-08-15T01:16:17+09:00	Nihongo-1.34.3-9792-iPhone17ProMax-iOS26.6	private://issue-147/D01-cave-top20-02.png	08498a54a9822d34a5fec506bfb913d209f793e97020de68cbb2568d503e710b	トムはまだ洞窟の中にいるんだ。	Tom is still in the cave.	11345330	3431160	true	12	normalized-literal-surface	true	true	true	false	english:3431160	1	issue-147-direct-transcription
